allele_code	alleles	haploidenticalPaternal	haploidenticalMaternal	identical	nonidentical	compression	mie
48	1,2,1,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
49	1,2,1,1	goodprobHI	erprobHI	goodprobID	erprobID	erprobC	erprobM
50	1,2,1,2	erprobHI	goodprobHI	erprobID	goodprobID	erprobC	erprobM
51	1,2,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
52	1,2,2,1	erprobHI	goodprobHI	erprobID	goodprobID	erprobC	erprobM
53	1,2,2,2	goodprobHI	erprobHI	goodprobID	erprobID	erprobC	erprobM
54	2,0,0,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
55	2,0,0,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
56	2,0,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
57	2,0,1,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
58	2,0,1,1	goodprobHI	goodprobHI	goodprobID	goodprobID	erprobC	erprobM
59	2,0,1,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
60	2,0,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
61	2,0,2,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
62	2,0,2,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
63	2,1,0,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
64	2,1,0,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
65	2,1,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
66	2,1,1,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
67	2,1,1,1	erprobHI	goodprobHI	goodprobID	erprobID	erprobC	erprobM
68	2,1,1,2	goodprobHI	erprobHI	erprobID	goodprobID	erprobC	erprobM
69	2,1,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
70	2,1,2,1	goodprobHI	erprobHI	erprobID	goodprobID	erprobC	erprobM
71	2,1,2,2	erprobHI	goodprobHI	goodprobID	erprobID	erprobC	erprobM
72	2,2,0,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
73	2,2,0,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
74	2,2,0,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
75	2,2,1,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
76	2,2,1,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
77	2,2,1,2	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
78	2,2,2,0	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
79	2,2,2,1	erprobHI	erprobHI	erprobID	erprobID	erprobC	mieprob
80	2,2,2,2	goodprobHI	goodprobHI	goodprobID	goodprobID	erprobC	erprobM
