GENE	gene	condition
ADA	ADA	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ADA	ADA	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
ADA	ADA	CoEnzyme Q10 Deficiency Nuclear Gene Panel
ADSL	ADSL	Childhood-Onset Epilepsy Panel
ADSL	ADSL	Infantile Epilepsy Panel
ADSL	ADSL	Comprehensive Epilepsy Panel
AFG3L2	AFG3L2	Combined Mito Genome Plus Mito Nuclear Gene Panel
AFG3L2	AFG3L2	Comprehensive Mitochondrial Nuclear Gene Panel
AFG3L2	AFG3L2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
AGA	AGA	AGA Del/Dup
AGA	AGA	AGA Gene Sequencing
AGK	AGK	Combined Mito Genome Plus Mito Nuclear Gene Panel
AGK	AGK	Comprehensive Mitochondrial Nuclear Gene Panel
AGK	AGK	MtDNA Depletion/Multiple Deletions Nuclear Gene Panel
AGK	AGK	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
AGPS	AGPS	Congenital Ichthyosis XomeDxSlice
AHI1	AHI1	Joubert Syndrome and Related Disorders Panel
AHI1	AHI1	Comprehensive Brain Malformations Panel
AICDA	AICDA	AICDA Del/Dup
AICDA	AICDA	AICDA Gene Sequencing
AIFM1	AIFM1	Combined Mito Genome Plus Mito Nuclear Gene Panel
AIFM1	AIFM1	Comprehensive Mitochondrial Nuclear Gene Panel
AIFM1	AIFM1	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
AIPL1	AIPL1	AIPL1 Del/Dup
AIPL1	AIPL1	AIPL1 Gene Sequencing
AIPL1	AIPL1	LCA Tier 5
AIPL1	AIPL1	LCA Tier 1
AIRE	AIRE	AIRE Del/Dup
AIRE	AIRE	AIRE Gene Sequencing
AIRE	AIRE	AIRE Remaining Exons
AIRE	AIRE	AIRE Select Exons
AK2	AK2	Comprehensive SCID Panel
AK2	AK2	B-negative SCID Panel
AKAP9	AKAP9	LQTS Del/Dup Panel
AKAP9	AKAP9	LQTS Sequencing Panel
AKAP9	AKAP9	LQTS Gene Sequencing & Del/Dup Panel
AKAP9	AKAP9	Comprehensive Arrhythmia Panel
ALAS2	ALAS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
ALAS2	ALAS2	Comprehensive Mitochondrial Nuclear Gene Panel
ALDH1B1	ALDH1B1	Combined Mito Genome Plus Mito Nuclear Gene Panel
ALDH1B1	ALDH1B1	Comprehensive Mitochondrial Nuclear Gene Panel
ALDH3A2	ALDH3A2	ALDH3A2 Del/Dup
ALDH3A2	ALDH3A2	ALDH3A2 Gene Sequencing
ALDH3A2	ALDH3A2	Congenital Ichthyosis XomeDxSlice
ALDH7A1	ALDH7A1	STAT Epilepsy Panel
ALDH7A1	ALDH7A1	Infantile Epilepsy Panel
ALDH7A1	ALDH7A1	Comprehensive Epilepsy Panel
ALOX12B	ALOX12B	ALOX12B Del/Dup
ALOX12B	ALOX12B	ALOX12B Gene Sequencing
ALOX12B	ALOX12B	Congenital Ichthyosis XomeDxSlice
ALOXE3	ALOXE3	ALOXE3 Del/Dup
ALOXE3	ALOXE3	ALOXE3 Gene Sequencing
ALOXE3	ALOXE3	Congenital Ichthyosis XomeDxSlice
ANK2	ANK2	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
ANK2	ANK2	LQTS Del/Dup Panel
ANK2	ANK2	LQTS Sequencing Panel
ANK2	ANK2	LQTS Gene Sequencing & Del/Dup Panel
ANK2	ANK2	Comprehensive Arrhythmia Panel
ANKRD1	ANKRD1	DCM/LVNC Sequencing Panel
ANKRD1	ANKRD1	Comprehensive Cardiomyopathy Panel
ANKRD11	ANKRD11	ANKRD11 Gene Sequencing
ANO5	ANO5	Limb-Girdle Muscular Dystrophy Panel
ANO5	ANO5	Neuromuscular Disorders Panel
AP1S1	AP1S1	Congenital Ichthyosis XomeDxSlice
APC	APC	Colorectal Cancer Panel
APC	APC	Pancreatic Cancer Panel
APC	APC	High/Moderate Risk Panel
APC	APC	OncoGeneDx Custom Panel
APC	APC	Comprehensive Cancer Panel
APC	APC	Lynch/Colorectal High Risk Panel
APTX	APTX	Combined Mito Genome Plus Mito Nuclear Gene Panel
APTX	APTX	Comprehensive Mitochondrial Nuclear Gene Panel
APTX	APTX	MtDNA Depletion/Multiple Deletions Nuclear Gene Panel
APTX	APTX	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
APTX	APTX	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
APTX	APTX	CoEnzyme Q10 Deficiency Nuclear Gene Panel
AR	AR	AR Del/Dup
AR	AR	AR Gene Sequencing
AR	AR	AR Repeat Analysis
AR	AR	Prenatal AR Gene Sequencing
ARFGEF2	ARFGEF2	Cortical Brain Malformations Panel
ARFGEF2	ARFGEF2	Comprehensive Brain Malformations Panel
ARG1	ARG1	ARG1 Del/Dup
ARG1	ARG1	ARG1 Gene Sequencing
ARG1	ARG1	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ARG1	ARG1	Reflex Del/Dup Testing after Hyperammonemia Panel
ARSA	ARSA	ARSA Del/Dup
ARSA	ARSA	ARSA Gene Sequencing
ARSB	ARSB	ARSB Del/Dup
ARSB	ARSB	ARSB Gene Sequencing
ARSE	ARSE	ARSE Del/Dup
ARSE	ARSE	ARSE Gene Sequencing
ARSE	ARSE	ARSE Gene Sequencing & Del/Dup (Females)
ARSE	ARSE	Congenital Ichthyosis XomeDxSlice
ARX	ARX	STAT Epilepsy Panel
ARX	ARX	ARX Del/Dup
ARX	ARX	Cortical Brain Malformations Panel
ARX	ARX	Comprehensive Brain Malformations Panel
ARX	ARX	Infantile Epilepsy Panel
ARX	ARX	Comprehensive Epilepsy Panel
ASL	ASL	ASL Del/Dup
ASL	ASL	ASL Gene Sequencing
ASL	ASL	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ASL	ASL	Reflex Del/Dup Testing after Hyperammonemia Panel
ASPA	ASPA	ASPA Del/Dup
ASPA	ASPA	ASPA Gene Sequencing & Del/Dup
ASPM	ASPM	Microcephaly Panel
ASS1	ASS1	ASS1 Gene Sequencing
ASS1	ASS1	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
ASS1	ASS1	Reflex Del/Dup Testing after Hyperammonemia Panel
ATL1	ATL1	Hereditary Neuropathy Panel
ATM	ATM	Colorectal Cancer Panel
ATM	ATM	Pancreatic Cancer Panel
ATM	ATM	High/Moderate Risk Panel
ATM	ATM	Breast/Ovarian Cancer Panel
ATM	ATM	OncoGeneDx Custom Panel
ATM	ATM	Comprehensive Cancer Panel
ATM	ATM	Breast Cancer High/Moderate Risk Panel
ATP1A2	ATP1A2	Comprehensive Epilepsy Panel
ATP2A1	ATP2A1	Neuromuscular Disorders Panel
ATP2A2	ATP2A2	ATP2A2 Gene Sequencing
ATP2C1	ATP2C1	ATP2C1 Gene Sequencing
ATP5E	ATP5E	Methylglutaconic Aciduria Nuclear Gene Panel
ATP5E	ATP5E	Combined Mito Genome Plus Mito Nuclear Gene Panel
ATP5E	ATP5E	Comprehensive Mitochondrial Nuclear Gene Panel
ATP5E	ATP5E	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ATP6AP2	ATP6AP2	Infantile Epilepsy Panel
ATP6AP2	ATP6AP2	Comprehensive Epilepsy Panel
ATP7A	ATP7A	Hereditary Neuropathy Panel
ATP7A	ATP7A	ATPAF2 (ATP12)
ATP7A	ATP7A	Methylglutaconic Aciduria Nuclear Gene Panel
ATP7A	ATP7A	Combined Mito Genome Plus Mito Nuclear Gene Panel
ATP7A	ATP7A	Comprehensive Mitochondrial Nuclear Gene Panel
ATP7A	ATP7A	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ATP7A	ATP7A	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
ATR	ATR	Microcephaly Panel
ATRX	ATRX	Microcephaly Panel
AUH	AUH	Methylglutaconic Aciduria Nuclear Gene Panel
AUH	AUH	Combined Mito Genome Plus Mito Nuclear Gene Panel
AUH	AUH	Comprehensive Mitochondrial Nuclear Gene Panel
AUH	AUH	AUH Del/Dup
AUH	AUH	AUH Gene Sequencing
AUH	AUH	Progressive External Ophthalmoplegia (PEO)/Optic Atrophy Nuclear Gene Panel
AXIN2	AXIN2	Colorectal Cancer Panel
AXIN2	AXIN2	OncoGeneDx Custom Panel
AXIN2	AXIN2	Comprehensive Cancer Panel
AXIN2	AXIN2	BBack To Top
B3GALNT2	B3GALNT2	Syndromic Congenital Muscular Dystrophy Panel
B3GALNT2	B3GALNT2	Neuromuscular Disorders Panel
BAG3	BAG3	Neuromuscular Disorders Panel
BAG3	BAG3	Comprehensive Cardiomyopathy Panel
BAG3	BAG3	Myofibrillar Myopathy Panel
BARD1	BARD1	Breast/Ovarian Cancer Panel
BARD1	BARD1	OncoGeneDx Custom Panel
BARD1	BARD1	Comprehensive Cancer Panel
BCKDHA	BCKDHA	BCKDHA Del/Dup
BCKDHA	BCKDHA	BCKDHA Gene Sequencing
BCKDHA	BCKDHA	MSUD Sequencing panel
BCKDHA	BCKDHA	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
BCKDHA	BCKDHA	Reflex Del/Dup Testing after Hyperammonemia Panel
BCKDHB	BCKDHB	BCKDHB Del/Dup
BCKDHB	BCKDHB	BCKDHB Gene Sequencing
BCKDHB	BCKDHB	MSUD Sequencing panel
BCKDHB	BCKDHB	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
BCKDHB	BCKDHB	Reflex Del/Dup Testing after Hyperammonemia Panel
BCOR	BCOR	BCOR Del/Dup
BCOR	BCOR	BCOR P85L Mutation
BCOR	BCOR	BCOR Remaining Exons Sequencing
BCOR	BCOR	BCOR Select Exons Sequencing & Del/Dup
BCS1L	BCS1L	Combined Mito Genome Plus Mito Nuclear Gene Panel
BCS1L	BCS1L	Comprehensive Mitochondrial Nuclear Gene Panel
BCS1L	BCS1L	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
BCS1L	BCS1L	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
BEST1	BEST1	BEST1 Del/Dup
BEST1	BEST1	BEST1 Gene Sequencing
BIN1	BIN1	Neuromuscular Disorders Panel
BLM	BLM	BLM Del/Dup
BLM	BLM	BLM Gene Sequencing
BMP15	BMP15	Premature Ovarian Failure Sequencing Panel
BMPR1A	BMPR1A	Colorectal Cancer Panel
BMPR1A	BMPR1A	JPS Tier 2
BMPR1A	BMPR1A	High/Moderate Risk Panel
BMPR1A	BMPR1A	OncoGeneDx Custom Panel
BMPR1A	BMPR1A	Comprehensive Cancer Panel
BMPR1A	BMPR1A	BMPR1A, SMAD4 Gene Sequencing & Del/Dup
BMPR1A	BMPR1A	JPS Del/Dup Analysis
BMPR1A	BMPR1A	JPS Tier 1
BMPR2	BMPR2	Pulmonary Arterial Hypertension Panel
BOLA3	BOLA3	Combined Mito Genome Plus Mito Nuclear Gene Panel
BOLA3	BOLA3	Comprehensive Mitochondrial Nuclear Gene Panel
BOLA3	BOLA3	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
BOLA3	BOLA3	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
BRAF	BRAF	Prenatal Noonan Spectrum Disorders Panel
BRAF	BRAF	Noonan and RASopathies Panel
BRAF	BRAF	Comprehensive Cardiomyopathy Panel
BRCA1	BRCA1	Endometrial Cancer Panel
BRCA1	BRCA1	Pancreatic Cancer Panel
BRCA1	BRCA1	High/Moderate Risk Panel
BRCA1	BRCA1	Breast/Ovarian Cancer Panel
BRCA1	BRCA1	OncoGeneDx Custom Panel
BRCA1	BRCA1	Comprehensive Cancer Panel
BRCA1	BRCA1	BRCA1/2 Ashkenazi Founder Mutation Panel
BRCA1	BRCA1	BRCA1/2 Sequencing and Del/Dup analysis
BRCA1	BRCA1	BRCA1 and BRCA2 Del/Dup
BRCA1	BRCA1	BRCA1 and BRCA2 Sequencing
BRCA1	BRCA1	Breast Cancer High Risk Panel
BRCA1	BRCA1	Breast Cancer High Risk Panel and PALB2
BRCA1	BRCA1	Breast Cancer High/Moderate Risk Panel
BRCA2	BRCA2	Endometrial Cancer Panel
BRCA2	BRCA2	Pancreatic Cancer Panel
BRCA2	BRCA2	High/Moderate Risk Panel
BRCA2	BRCA2	Breast/Ovarian Cancer Panel
BRCA2	BRCA2	OncoGeneDx Custom Panel
BRCA2	BRCA2	Comprehensive Cancer Panel
BRCA2	BRCA2	BRCA1/2 Ashkenazi Founder Mutation Panel
BRCA2	BRCA2	BRCA1/2 Sequencing and Del/Dup analysis
BRCA2	BRCA2	BRCA1 and BRCA2 Del/Dup
BRCA2	BRCA2	BRCA1 and BRCA2 Sequencing
BRCA2	BRCA2	Breast Cancer High Risk Panel
BRCA2	BRCA2	Breast Cancer High Risk Panel and PALB2
BRCA2	BRCA2	Breast Cancer High/Moderate Risk Panel
BRIP1	BRIP1	Breast/Ovarian Cancer Panel
BRIP1	BRIP1	OncoGeneDx Custom Panel
BRIP1	BRIP1	Comprehensive Cancer Panel
BSCL2	BSCL2	Axonal CMT Panel
BSCL2	BSCL2	Hereditary Neuropathy Panel
BTD	BTD	BTD Del/Dup
BTD	BTD	BTD Gene Sequencing
BTK	BTK	BTK Del/Dup
BTK	BTK	BTK Gene Sequencing & Del/Dup
BTK	BTK	CBack To Top
CHMP1B	C10ORF2	Combined Mito Genome Plus Mito Nuclear Gene Panel
CHMP1B	C10ORF2	Comprehensive Mitochondrial Nuclear Gene Panel
CHMP1B	C10ORF2	MtDNA Depletion/Multiple Deletions Nuclear Gene Panel
CHMP1B	C10ORF2	Progressive External Ophthalmoplegia (PEO)/Optic Atrophy Nuclear Gene Panel
CHMP1B	C10ORF2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
C12ORF65	C12ORF65	Combined Mito Genome Plus Mito Nuclear Gene Panel
C12ORF65	C12ORF65	Comprehensive Mitochondrial Nuclear Gene Panel
C12ORF65	C12ORF65	Progressive External Ophthalmoplegia (PEO)/Optic Atrophy Nuclear Gene Panel
NDUFAF5	C20ORF7	Combined Mito Genome Plus Mito Nuclear Gene Panel
NDUFAF5	C20ORF7	Comprehensive Mitochondrial Nuclear Gene Panel
NDUFAF5	C20ORF7	Mitochondrial Complex I Deficiency Nuclear Gene Panel
NDUFAF5	C20ORF7	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
NDUFAF6	C8ORF38	Combined Mito Genome Plus Mito Nuclear Gene Panel
NDUFAF6	C8ORF38	Comprehensive Mitochondrial Nuclear Gene Panel
NDUFAF6	C8ORF38	Mitochondrial Complex I Deficiency Nuclear Gene Panel
NDUFAF6	C8ORF38	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
NDUFAF6	C8ORF38	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
CABP4	CABP4	CABP4 Gene Sequencing
CACNA1C	CACNA1C	LQTS Del/Dup Panel
CACNA1C	CACNA1C	LQTS Sequencing Panel
CACNA1C	CACNA1C	LQTS Gene Sequencing & Del/Dup Panel
CACNA1C	CACNA1C	Comprehensive Arrhythmia Panel
CACNA1C	CACNA1C	BrS Sequencing Panel
CACNA1C	CACNA1C	Other Arrhythmic Disorders Del/Dup Panel
CACNA1F	CACNA1F	CACNA1F Gene Sequencing
CACNA1S	CACNA1S	Neuromuscular Disorders Panel
CACNB2	CACNB2	Comprehensive Arrhythmia Panel
CACNB2	CACNB2	BrS Sequencing Panel
CACNB2	CACNB2	Other Arrhythmic Disorders Del/Dup Panel
CACNB4	CACNB4	Childhood-Onset Epilepsy Panel
CACNB4	CACNB4	Comprehensive Epilepsy Panel
CAPN3	CAPN3	Limb-Girdle Muscular Dystrophy Panel
CAPN3	CAPN3	Neuromuscular Disorders Panel
CASK	CASK	Microcephaly Panel
CASK	CASK	Comprehensive Brain Malformations Panel
CASK	CASK	Pontocerebellar Hypoplasia Panel
CASP10	CASP10	CASP10 Gene Sequencing
CASP8	CASP8	CASP8 Gene Sequencing
CASQ2	CASQ2	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
CASQ2	CASQ2	Comprehensive Arrhythmia Panel
CASQ2	CASQ2	CPVT Sequencing Panel
CASQ2	CASQ2	Other Arrhythmic Disorders Del/Dup Panel
CASR	CASR	CASR Gene Sequencing
CAV1	CAV1	Pulmonary Arterial Hypertension Panel
CAV3	CAV3	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
CAV3	CAV3	LQTS Del/Dup Panel
CAV3	CAV3	LQTS Sequencing Panel
CAV3	CAV3	LQTS Gene Sequencing & Del/Dup Panel
CAV3	CAV3	HCM Sequencing Panel
CAV3	CAV3	Cardiomyopathies Del/Dup Panel
CAV3	CAV3	Limb-Girdle Muscular Dystrophy Panel
CAV3	CAV3	Comprehensive Arrhythmia Panel
CAV3	CAV3	Neuromuscular Disorders Panel
CAV3	CAV3	Comprehensive Cardiomyopathy Panel
CBL	CBL	Noonan and RASopathies Panel
CBL	CBL	CBL/NRAS Gene Sequencing
CBS	CBS	Marfan Syndrome/TAAD Del/Dup Panel
CBS	CBS	Marfan/TAAD Sequencing & Del/Dup Panel
CBS	CBS	Marfan Syndrome/TAAD Sequencing Panel
CBS	CBS	CBS Del/Dup
CBS	CBS	CBS Gene Sequencing
CC2D2A	CC2D2A	Joubert Syndrome and Related Disorders Panel
CC2D2A	CC2D2A	Comprehensive Brain Malformations Panel
CCM2	CCM2	CCM2 Gene Sequencing
CCM2	CCM2	Cerebral Cavernous Malformations (CCM) Panel
CCM2	CCM2	CCM Del/Dup Panel
CCM2	CCM2	CCM Tier 2
CD320	CD320	Methylmalonic Acidemia, Cobalamin Metabolism and Related Disorders Sequencing Panel
CD320	CD320	Reflex Del/Dup Testing After MMA and Related Disorders Panel
CD3D	CD3D	B-positive SCID Panel
CD3D	CD3D	Comprehensive SCID Panel
CD3E	CD3E	B-positive SCID Panel
CD3E	CD3E	Comprehensive SCID Panel
CD247	CD3Z	B-positive SCID Panel
CD247	CD3Z	Comprehensive SCID Panel
CD40	CD40	CD40 Gene Sequencing
CD40LG	CD40LG	CD40LG Del/Dup
CD40LG	CD40LG	CD40LG Gene Sequencing
CD40LG	CD40LG	CDC73 (HRPT2)
CD40LG	CD40LG	CDC73 (HRPT2) Gene Sequencing
CD40LG	CD40LG	CDC73 (HRPT2) Del/Dup
CD40LG	CD40LG	CDC73 (HRPT2) Remaining Exons Sequencing
CD40LG	CD40LG	CDC73 (HRPT2) Select Exons Sequencing
CD40LG	CD40LG	CDC73 Gene Sequencing and Del/Dup
CDH1	CDH1	Colorectal Cancer Panel
CDH1	CDH1	High/Moderate Risk Panel
CDH1	CDH1	Breast/Ovarian Cancer Panel
CDH1	CDH1	OncoGeneDx Custom Panel
CDH1	CDH1	Comprehensive Cancer Panel
CDH1	CDH1	Breast Cancer High Risk Panel
CDH1	CDH1	Breast Cancer High Risk Panel and PALB2
CDH1	CDH1	Breast Cancer High/Moderate Risk Panel
CDH23	CDH23	Usher Syndrome Del/Dup Panel
CDH23	CDH23	Usher Syndrome Panel
CDK4	CDK4	Pancreatic Cancer Panel
CDK4	CDK4	OncoGeneDx Custom Panel
CDK4	CDK4	Comprehensive Cancer Panel
CDK4	CDK4	CDKN2A (p16) & CDK4 (Exon2) Sequencing
CDK4	CDK4	Familial Cutaneous Malignant Melanoma
CDK5RAP2	CDK5RAP2	Microcephaly Panel
CDKL5	CDKL5	Rett/Angelman Syndrome Panel
CDKL5	CDKL5	STAT Epilepsy Panel
CDKL5	CDKL5	CDKL5 Del/Dup
CDKL5	CDKL5	CDKL5 Gene Sequencing
CDKL5	CDKL5	Microcephaly Panel
CDKL5	CDKL5	Childhood-Onset Epilepsy Panel
CDKL5	CDKL5	Infantile Epilepsy Panel
CDKL5	CDKL5	Comprehensive Epilepsy Panel
CDKN2A	CDKN2A	Pancreatic Cancer Panel
CDKN2A	CDKN2A	CDKN2A (p16) Gene Sequencing
CDKN2A	CDKN2A	High/Moderate Risk Panel
CDKN2A	CDKN2A	Comprehensive Cancer Panel
CDKN2A	CDKN2A	CDKN2A (p16) & CDK4 (Exon2) Sequencing
CDKN2A	CDKN2A	Familial Cutaneous Malignant Melanoma
CENPJ	CENPJ	Microcephaly Panel
CEP152	CEP152	Microcephaly Panel
CEP290	CEP290	Joubert Syndrome and Related Disorders Panel
CEP290	CEP290	CEP290 Del/Dup
CEP290	CEP290	CEP290 Hot Spots
CEP290	CEP290	Comprehensive Brain Malformations Panel
CEP290	CEP290	LCA Tier 1
CEP41	CEP41	Joubert Syndrome and Related Disorders Panel
CEP41	CEP41	Comprehensive Brain Malformations Panel
CERKL	CERKL	CERKL Del/Dup
CERKL	CERKL	CERKL Gene Sequencing
CERS3	CERS3	Congenital Ichthyosis XomeDxSlice
CFL2	CFL2	Congenital Myopathies & Muscular Dystrophies Panel
CFL2	CFL2	Neuromuscular Disorders Panel
CHD7	CHD7	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
CHD7	CHD7	CHD7 Del/Dup
CHD7	CHD7	CHD7 Gene Sequencing
CHD7	CHD7	Prenatal CHD7 Gene Sequencing
CHEK2	CHEK2	Endometrial Cancer Panel
CHEK2	CHEK2	Colorectal Cancer Panel
CHEK2	CHEK2	High/Moderate Risk Panel
CHEK2	CHEK2	Breast/Ovarian Cancer Panel
CHEK2	CHEK2	OncoGeneDx Custom Panel
CHEK2	CHEK2	Comprehensive Cancer Panel
CHEK2	CHEK2	Breast Cancer High/Moderate Risk Panel
CHKB	CHKB	Congenital Myopathies & Muscular Dystrophies Panel
CHKB	CHKB	Neuromuscular Disorders Panel
CHM	CHM	CHM Del/Dup
CHM	CHM	CHM Gene Sequencing
CHRNA2	CHRNA2	Childhood-Onset Epilepsy Panel
CHRNA2	CHRNA2	Comprehensive Epilepsy Panel
CHRNA4	CHRNA4	Childhood-Onset Epilepsy Panel
